Year,Lake,Rainbow Smelt,Suckers,Lake Trout,Walleye,Channel Catfish,Burbot,Carp,Yellow Perch
1945,Michigan,102,2373,5438,171,4,79,1833,1468
1945,Ontario,NA,29,106,37,NA,0,284,224
1945,Saint Clair,NA,0,NA,55,NA,NA,234,33
1945,Superior,0,276,4847,127,NA,NA,NA,NA
1946,Erie,NA,432,NA,6959,695,400,2041,5103
1946,Huron,6,3292,1540,2338,508,NA,3476,1362
1946,Michigan,267,1895,3975,237,91,65,1272,1473
1946,Ontario,1,14,103,49,0,0,213,199
1946,Saint Clair,NA,0,NA,49,13,NA,288,37
1946,Superior,0,228,4975,159,NA,NA,NA,NA
1947,Erie,NA,568,NA,4707,749,460,1925,4048
1947,Huron,4,2564,780,1444,542,NA,2750,1028
